번호,도서명,분야,저자,역자,출판사,출간일,ISBN,페이지,정가,추천경로
317,푸른 늑대의 파수꾼 (김은진 장편소설),문학,김은진,,창비,2016-04-18,9788936456726,276,10000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
318,경서 친구 경서,아동,정성희,,책읽는곰,2016-08-18,9791158360269,248,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
319,마법 수학 토크쇼 (최강수와 수학마법사 4인이 펼치는),어린이,노구치 데쓰노리,,살림MATH,2008-08-06,,0,9800,교육청 > 경남교육청 > 창의성을 기르는 책
320,"십대, 명작에서 진로를 찾다 (가슴을 흔든 명작이 내 삶을 바꾼다)",문학,김요한,,피톤치드,2016-09-26,9791186692059,256,13500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
321,거짓말쟁이 왕바름,아동,박영옥,,고래가숨쉬는도서관,2016-10-28,9791187427094,40,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
322,노벨상을 꿈꾸는 과학자들의 비밀노트,어린이,한국과학재단,,중앙에듀북스,2009-02-23,,0,10900,교육청 > 경남교육청 > 창의성을 기르는 책
323,하이타니 겐지로의 생각들,문학,하이타니 겐지로,,양철북,2016-11-07,9788963722191,180,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
324,일론 머스크의 세상을 바꾸는 도전 (멈추지 않는 열정으로 인류의 미래를 꿈꾸다),아동,박신식,,크레용하우스,2016-12-10,9788955474817,140,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
325,이그노벨상 이야기 (천재와 바보의 경계에 선 괴짜들의 노벨상),아동,마크 에이브러햄스,,살림,2010-10-07,,0,12000,교육청 > 경남교육청 > 창의성을 기르는 책
326,멋진 신세계와 판도라의 상자 (현대 과학 기술 낯설게 보기),자연과학,연세 과학 기술과 사회연구 포럼,,문학과지성사,2009-10-29,,0,11000,교육청 > 경남교육청 > 창의성을 기르는 책
327,책가방을 메고 오늘도 괜찮은 척 (따뜻한 손길과 위로를 기다리는 청소년을 위한 마음 치유 일러스트 에세이),문학,전진우,,팜파스,2016-12-10,9791170261353,192,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
328,노빈손 이상기후의 정체를 밝혀라,아동,장은선,,뜨인돌,2012-06-01,,0,9500,교육청 > 경남교육청 > 창의성을 기르는 책
329,처음 읽는 우주의 역사 (별똥별 아줌마  최초의 우주를 만나다),자연과학,이지유,,휴머니스트,2012-09-10,,0,14000,교육청 > 경남교육청 > 창의성을 기르는 책
330,에너지 세계 일주 (에너지 전문가 200명과 함께하는 친환경 어드벤처),자연과학,블랑딘 앙투안|엘로디 르노,,살림,2011-04-11,,0,14800,교육청 > 경남교육청 > 창의성을 기르는 책
331,뒤바뀐 교환학생,문학,크리스티네 뇌슬링어,,지니책,2017-02-06,9791195847419,286,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
332,왕할아버지 오신 날,아동,이영미,,느림보,2016-10-26,9788958762072,36,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
333,욕심쟁이 딸기 아저씨 (초등학생을 위한),아동,김유경,,노란돼지,2017-01-20,9791159950179,52,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
334,미스터 퐁 과학에 빠지다 (호기심으로 떠나는 창의력 여행),아동,송은영,,부키,2011-10-24,,0,12500,교육청 > 경남교육청 > 창의성을 기르는 책
335,"난민 (세계 시민 수업 1, 왜 목숨 걸고 국경을 넘을까?)",아동,박진숙,,풀빛,2016-11-24,9788974741150,104,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
336,요즘것들 사전 (요즘것들의 말로 들여다본 요즘 세상),사회,권재원,,우리학교,2016-12-13,9791187050209,252,13500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
337,엄마의 슬픈 날,아동,시린 호마이어,,문학동네,2009-10-29,,0,8500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
338,이렇게 재미있는 책이라면 (청소년을 위한 독서 유발 인문학 강독회),사회,박현희,,북하우스,2016-12-12,9788956057934,244,14000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
339,으리으리한 개집,아동,유설화,,책읽는곰,2017-01-17,9791158360351,40,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
340,책벌레들의 책 없는 방학,아동,힐러리 매케이,,시공주니어,2011-02-20,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
341,새는 날아가면서 뒤돌아보지 않는다,문학,류시화,,더숲,2017-02-25,9791186900222,280,14000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
342,엄마하고 나하고,아동,장경원,,느림보,2011-03-03,,0,11000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
343,난 별명이 싫어요,아동,류선희,,리틀씨앤톡,2010-10-25,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
344,손으로 말하는 아이,아동,상드린 보,,스콜라,2016-11-15,9788962477818,96,9800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
345,"히든 피겨스 (여성이었고, 흑인이었고, 영웅이었다)",문학,마고 리 셰털리,,노란상상,2017-03-22,9788997367818,264,11500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
346,나도 같이 놀고 싶단 말이야,아동,로렌 차일드,,국민서관,2011-02-28,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
347,아이들 눈에 비친 어른 세상 그리고 나,아동,주디스 라자르,,산수야,2011-02-15,,0,12000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
348,아빠의 인생 사용법,아동,토마 스코토,,어린이작가정신,2011-02-22,,0,8500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
349,악동 삼총사 희망을 쏘다,아동,고정욱,,아이앤북,2010-12-20,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
350,열정페이는 개나 줘 (일하는 청소년이 알아야 할 법 상식),사회,창작크루 고온,,탐,2016-10-28,9788964963173,208,10000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
351,내 쪽으론 숨도 쉬지 않았다 (제5회 한우리 문학상 청소년 부문 당선작),문학,장혜서,,한우리문학,2016-04-15,9791156550341,168,10000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
352,나눔으로 세상을 바꿀 수 있어요,아동,곽영미,,북오션,2010-12-01,,0,11000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
353,내 아들아 너는 인생을 이렇게 살아라,어린이,필립 체스터필드,,을유문화사,2001-02-20,,0,7000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
354,네가 세상에 처음 왔을때,아동,선안나,,학고재,2010-12-15,,0,11000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
355,안목,역사,유홍준,,눌와,2017-01-31,9788990620866,320,20000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2017
356,거짓말 같은 이야기 (2011 볼로냐 국제 어린이 도서전 라가치 상),아동,강경수,,시공주니어,2011-02-20,,0,9500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
357,너는 기적이야,아동,최숙희,,책읽는곰,2010-09-09,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
358,지혜를 배우러 가는 길,아동,알렉스 캐브레라,,파인앤굿,2011-02-15,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
359,나는 아이로서 누릴 권리가 있어요,아동,알랭 세레,,고래이야기,2010-12-15,,0,11500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
360, 소리내어 읽는 즐거움 (삶을 바꾸는 '우리말 낭독'의 힘)  ,문학,정여울,,홍익출판사,2016-10-09,9788970655499,312,14800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
361,"레오, 나의 유령 친구",아동,맥 바넷,,사계절,2016-02-29,9788958289586,52,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
362,"그렇게, 아버지가 된다",문학,윤용인,,알키,2016-03-15,9788952782014,248,13800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
363,별이네 옥수수밭 손님들,아동,김정희,,산하,2010-11-10,,0,9800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
364,학교 가기 싫은 아이들이 다니는 학교,아동,송미경,,웅진주니어,2010-11-15,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
365,콩 하나면 되겠니,아동,배유안,,창비,2010-06-01,,0,8500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
366,일단 앉아 봐 (심리학 좀 공부해 본 선생님이 들려주는 인생 꿀팁),사회,에런 밸릭,,내인생의책,2016-02-17,9791157232390,164,14000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
367,도둑왕 아모세,아동,유현산,,창비,2016-03-25,9788936442859,184,9800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
368,도깨비 쌀과 쌀 도깨비,아동,김율희,,개암나무,2010-04-30,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
369,짜릿하고도 씁쓸한 올림픽 이야기,아동,김성호,,사계절,2015-10-30,9788958289043,132,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
370,큰사람 장길손 (우리 땅을 만들다),아동,송아주,,도토리숲,2016-03-17,9791185934204,48,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
371,내겐 드레스 백 벌이 있어,아동,엘레노어 에스테스,,비룡소,2002-01-11,,0,7500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
372,고래를 찾는 자전거,아동,김영호 (원작)|김영로 (원작)|곽영미|김영호|김영로,,계림북스,2011-05-02,,0,8000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
373,"모지스 할머니, 평범한 삶의 행복을 그리다",예술,이소영,,홍익출판사,2016-04-05,9788970655314,176,12800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
374,엄마를 기다릴게,문학,스와티 아바스티,,작가정신,2016-02-11,9788972886495,440,13800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
375,칭찬의 심리학 (칭찬을 하면 좋은 일이 생긴다),총류,와다 히데키,,케이디북스,2010-12-15,,0,11500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
376,덕질로 인생역전 (유쾌한 밥줄을 찾는 열두 가지 방법),문학,대학내일20대연구소|빙글,,중앙북스,2016-03-14,9788927807391,224,13800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
377,10대를 위한 가슴이 시키는 일 (꿈 도전 그리고 희망과 열정),어린이,김이율,,판테온하우스,2011-06-10,,0,12800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
378,어린이를 위한 경청 (좋은 친구를 사귀는 힘),아동,정진,,위즈덤하우스,2008-04-20,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
379,희망이 청춘에게 답하다 (꿈꾸는 청춘들에게 보내는 희망 편지 114),어린이,이신화,,화담,2011-06-30,,0,12000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
380,금연학교 (박현숙 장편소설),문학,박현숙,,자음과모음,2016-05-10,9788954435949,260,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
381,분홍문의 기적,아동,강정연,,비룡소,2016-04-29,9788949121727,212,9500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
382,풀꽃도 꽃이다 1 (조정래 장편소설),문학,조정래,,해냄출판사,2016-07-12,9788965745617,397,13800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
383,십대답게 살아라 (내 삶에 태클 거는 바이러스 퇴치법),어린이,문지현,,뜨인돌출판사,2008-12-15,,0,9500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
384,참 아름다운 당신,총류,박정애|도종환|공선옥|복효근|김중미,,우리교육,2009-11-12,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
385,10대에 알았더라면 좋았을 것들 1 (꿈을 이루어주는 백만불짜리 멘토링 36),어린이,김태광,,문예춘추사,2010-10-15,,0,12000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
386,청소년을 위한 음식의 사회학 (음식 속에 담긴 세상을 배우다),사회,폴라 에이어,,그린북,2016-05-12,9788955883183,208,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
387,청소년을 위한 마지막 강의,어린이,윤승일,,살림,2009-04-28,,0,11000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
388,마중물 (마음을 여는 신뢰의 물),총류,박현찬,,위즈덤하우스,2010-08-30,,0,12000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
389,한 걸음만 더 (절망을 희망으로 바꾸는 마지막 행동),총류,스티븐 C. 런딘|카 헤이저먼,,김영사,2008-10-11,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
390,돈을 공짜로 드립니다!,아동,페레 코메야스,,책속물고기,2016-02-10,9791186670224,64,9500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
391,"심영순, 고귀한 인생 한 그릇 (평범한 인생을 귀하게 만든 한식 대가의 마음 수업(인플루엔셜 대가의 지혜)",문학,심영순,,인플루엔셜,2016-07-18,9791186560181,336,15000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
392,내 주머니 속의 괴물,아동,그라시엘라 몬테스,,푸른숲,2009-06-15,,0,8500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
393,저커버그 이야기,문학,주디 L. 해즈데이,,움직이는서재,2016-06-05,9791186592298,295,14000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
394,완벽한 친구를 만드는 방법,문학,마르티나 빌드너,,라임,2016-07-29,9791185871455,224,9800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
395,구멍 난 벼루 (김정희와 허련의 그림 이야기),아동,배유안,,토토북,2016-03-28,9788964963036,156,10000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
396,만점짜리 도시락,아동,구스노키 시게노리,,스콜라,2016-05-10,9788962477320,32,11000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
397,기분 나빴다면 미안해!?,철학/심리학/윤리학,이남석,,라임,2016-07-20,9791185871448,188,12800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
398,별걸 다재는 단위이야기,자연과학,호시다타다히코,,어바웃어북,2016-09-01,9791187150121,264,15000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
399,뒷집 준범이,아동,이혜란,,보림,2011-03-28,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
400,지우개 따먹기 법칙,아동,유순희,,푸른책들,2011-03-10,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
401,코끼리에게 날개 달아주기 (이외수의 감성산책),총류,이외수,,해냄출판사,2011-01-05,,0,12800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
402,엘 데포 (특별한 아이와 진실한 친구 이야기),아동,시시 벨,,밝은미래,2016-07-15,9788965462385,248,14500,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
403,"안녕, 울적아",아동,안나 워커,,키다리,2016-09-10,9791157851270,40,12000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책-2016
404,준비가 알차면 직업이 즐겁다,총류,탁석산,,창비,2009-10-25,9788936458058,0,0,교육청 > 경남교육청 > 진로와 관련된 책
405,뭉클 (마음과 마음이 만나는 소리),총류,좋은생각 편집부,,좋은생각,2010-08-25,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
406,당신의 입을 다스려라 (후회 없는 삶을 만드는 첫 번째 원칙),총류,로버트 제누아,,바다출판사,2011-09-03,,0,13800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
407,성격심리학,철학/심리학/윤리학,Charles S. Carner|Michael F. Scheier,,학지사,2012-09-10,,0,25000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
408,성격의 발견 (내 안에 잠재된 기질 성격 재능에 관한 비밀),총류,제롬 케이건,,시공사,2011-05-31,,0,15000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
409,입시를 이기는 행복력 공부,어린이,시미즈 요시노리,,v,2009-04-07,9788995994924,0,0,교육청 > 경남교육청 > 진로와 관련된 책
410,한국예술종합학교 이야기(일만시간의 몰입),총류,현재원,,|청어람,2011-03-28,9788993912517,0,0,교육청 > 경남교육청 > 진로와 관련된 책
411,내 인생을 특별하게 만들어 줄 멋진 직업,총류,캐롤린 보이스,,행간,2009-09-30,9788992714464,0,0,교육청 > 경남교육청 > 진로와 관련된 책
412,세상을 바꾸는 천 개의 직업,총류,박원순,,문학동네,2011-10-07,9788954616188,0,0,교육청 > 경남교육청 > 진로와 관련된 책
413,두려워 마라 지나고 나면 별것 아니다 (내일은 지금 이 순간 시작된다),총류,안상헌,,북포스,2011-10-10,,0,13000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
414,행복이 낯선 당신에게,철학/심리학/윤리학,우베 뵈셰마이어,,서돌,2011-10-04,,0,12000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
415,여행도 하고 돈도버는 여행작가 한번 해볼까?,총류,"채지형, 김남경",,위즈덤하우스 ,2009-08-28,9788960861961,0,0,교육청 > 경남교육청 > 진로와 관련된 책
416,청년독립선언,총류,"엄명종, 정강욱, 정민규",,심통 ,2010-07-20,9788996468905,0,0,교육청 > 경남교육청 > 진로와 관련된 책
417,대한민국어린이라면 꼭알아야 할 세계사 100대 사건,아동,전지은,,예림당,2010-02-18,,0,9500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
418,오렌지 1KG 그리고 삶은 계속된다 (사거리의 거북이 06),어린이,로젤린느 모렐,,청어람주니어(청어람M&B),2008-11-25,,0,8500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
419,칭찬의 심리학 (칭찬을 하면 좋은 일이 생긴다),총류,와다 히데키,,케이디북스,2010-12-15,,0,11500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
420,꿈꾸는 다락방2 실천편,총류,이지성,,국일미디어,2008-07-28,9788974255282,0,0,교육청 > 경남교육청 > 진로와 관련된 책
421,청소년의 진로탐색과 결정,문학,문승태,,한국학술정보,2006-09-20,9788953456723,0,0,교육청 > 경남교육청 > 진로와 관련된 책
422,대한민국 10대를 인터뷰하다,문학,김순천,,동녘,2009-08-31,9788972976011,0,0,교육청 > 경남교육청 > 진로와 관련된 책
423,꿈 희망 미래,사회,스티브 김,,21세기북스,2011-01-17,9788950928186,0,0,교육청 > 경남교육청 > 진로와 관련된 책
424,외로워서 그랬어요 (열일곱을 위한 청춘 상담),어린이,문경보,,샨티,2011-07-29,,0,13000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
425,못난 것도 힘이 된다,어린이,이상석,,양철북,2010-04-14,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
426,열네살 2,어린이,타니구치 지로,,샘터사,2004-04-25,,0,7000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
427,진학보다 진로를 먼저 생각하는 10대의 미래지도,어린이,강보영,,노란우산,2010-02-20,9788963055107,0,0,교육청 > 경남교육청 > 진로와 관련된 책
428,우리 아이 진로 학교보다 부모가 먼저다,기술과학,헤더 카펜터,,샘터(샘터사),2010-10-30,9788946417748,0,0,교육청 > 경남교육청 > 진로와 관련된 책
429,나만의 북극성을 찾아라1(진로탐색편),어린이,"홍기운, 김승",,미디어숲,2012-01-27,9788991907393,0,0,교육청 > 경남교육청 > 진로와 관련된 책
430,대한민국 청소년에게2,문학,강수돌 외,,바이북스,2012-02-15,9788992467629,0,0,교육청 > 경남교육청 > 진로와 관련된 책
431,열일곱 살의 인생론 (성장을 위한 철학 에세이),철학/심리학/윤리학,안광복,,사계절,2010-01-12,,0,9800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
432,내 청춘 시속 370km,어린이,이송현,,사계절,2011-08-30,,0,9800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
433,선물은 누구의 것이 될까 (철학 교수가 들려주는 지혜 이야기),철학/심리학/윤리학,제브데트 클르츠,,푸른숲주니어,2011-10-27,,0,9000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
434,덤벼라 인생,문학,"고성국,남경태",,철수와영희,2012-02-10,9788993463224,0,0,교육청 > 경남교육청 > 진로와 관련된 책
435,나의 진로 포트폴리오 만들기,어린이,"조경희,김연미,김태옥",,씨마스,2011-12-09,9788991812543,0,0,교육청 > 경남교육청 > 진로와 관련된 책
436,비전있는 진로 가이드(소녀들을 위한),아동,해바라기,,지경사,2003-09-25,9788931915846,0,0,교육청 > 경남교육청 > 진로와 관련된 책
437,미대 나와서 무얼 할까,총류,박정준,,안그라픽스 ,2011-05-30,9788970595856,0,0,교육청 > 경남교육청 > 진로와 관련된 책
438,행복교과서 (청소년들의 행복 수업을 위한 첫걸음),어린이,서울대학교 행복연구센터,,주니어김영사,2013-02-25,,0,9800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
439,나의 마음을 들어 줘,아동,샤론 M. 드레이퍼,,개암나무,2011-10-05,,0,11000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
440,우리집 베란다에 방울토마토가 자라요,아동,박희란,,살림어린이,2010-11-15,,0,10000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
441,열다섯 살 하영이의 스웨덴 학교 이야기,문학,이하영,,양철북,2008-10-27,9788990220875,0,0,교육청 > 경남교육청 > 진로와 관련된 책
442,지금 고민한 만큼 너는 단단해질 것이다,총류,존 맥스웰,,애플북스,2011-12-23,9788994353142,0,0,교육청 > 경남교육청 > 진로와 관련된 책
443,꿈의 로켓을 쏘다,문학,채연석,,북하우스,2008-10-24,9788956053011,0,0,교육청 > 경남교육청 > 진로와 관련된 책
444,일본신문 장학생,총류,김용기,,이비락,2011-03-21,9788962450583,0,0,교육청 > 경남교육청 > 진로와 관련된 책
445,꽃필날 (오늘은 나의 꽃을 위해 당신의 가슴이 필요한 날입니다),총류,손명찬,,좋은생각,2011-10-31,,0,13000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
446,웃음 1 (베르나르 베르베르 장편소설),문학,베르나르 베르베르,,열린책들,2011-10-27,,0,11800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
447,그 사람을 본 적이 있나요 (김려명 장편소설),문학,김려령,,문학동네,2011-08-25,,0,10500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
448,바보처럼 공부하고 천재처럼 꿈꿔라 시즌2,문학,김의식,,명진출판사,2012-06-13,9788976776822,0,0,교육청 > 경남교육청 > 진로와 관련된 책
449,오바마대통령의 꿈,아동,한봉지,,리젬,2009-01-20,9788992826204,0,0,교육청 > 경남교육청 > 진로와 관련된 책
450,거위의 꿈 폴포츠,아동,박현성,,리젬,2009-06-05,9788992826228,0,0,교육청 > 경남교육청 > 진로와 관련된 책
451,행복바이러스 안철수,아동,안철수,,리젬,2009-09-05,9788992826259,0,0,교육청 > 경남교육청 > 진로와 관련된 책
452,사회학 에세이 (구정화 교수가 들려주는 교실 밖 세상 이야기),어린이,구정화,,해냄출판사,2012-05-25,,0,13000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
453,그러니까 웃어요,총류,이미숙,,마음의숲,2010-12-15,,0,13000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
454,30년만의 휴식 (마음의 평안과 자유를 얻은),총류,이무석,,비전과리더십,2006-05-09,,0,12000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
455,진로교육 아이의 미래를 멘토링하다,기술과학,조진표,,주니어김영사,2012-06-08,9788934957867,0,0,교육청 > 경남교육청 > 진로와 관련된 책
456,청소년진로코칭,문학,허은영,,우리교육,2012-03-30,9788980406715,0,0,교육청 > 경남교육청 > 진로와 관련된 책
457,자기소개서 진로설계서로 미래를 폼나게 디자인하라,어린이,"김세정, 서유리",,아주큰선물,2012-01-20,9788991891678,0,0,교육청 > 경남교육청 > 진로와 관련된 책
458,청춘의 진로교실,총류,야마다 즈니,,프렌즈,2011-06-15,9788996645603,0,0,교육청 > 경남교육청 > 진로와 관련된 책
459,왜 학교에 가야 하나요?,아동,하르트무트 폰 헨티히,,비룡소,2003-08-18,9788949190204,0,0,교육청 > 경남교육청 > 진로와 관련된 책
460,365 Thank You 땡큐 (마음을 감동시키는 힘),총류,존 크랠릭,,한국경제신문,2011-12-05,,0,13800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
461,내 마음을 만지다 (이봉희 교수의 문학치유 카페),총류,이봉희,,생각속의집,2011-11-21,,0,13800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
462,달의 뒤편으로 간 사람,아동,베아 우스마 쉬페르트,,비룡소,2009-07-20,9788949187075,0,0,교육청 > 경남교육청 > 진로와 관련된 책
463,어린이를 위한 미래직업 100,아동,"최정원,정미선",,이케이북,2013-05-07,9788996897354,0,0,교육청 > 경남교육청 > 진로와 관련된 책
464,창의력 오렌지,사회,팻 팰런 ,,세종서적,2008-09-20,9788984072749,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
465,오늘 내가 살아갈 이유,총류,위지안,,예담,2011-12-20,,0,12900,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
466,재운이_윤동재,어린이,윤동재,,한국문학도서관,1984-05-05,,0,4000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
467,마음,문학,나쓰메 소세키,,웅진닷컴,2002-12-06,,0,8500,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
468,엄마 딸이라서 행복해 (오늘 미워하고 내일 또 사랑하는 엄마와 딸 이야기),총류,홍희선,,랜덤하우스코리아,2011-12-22,,0,13000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
469,창의력은밥이다,총류,김광희,,|넥서스 BIZ ,2011-11-30,9788957979389,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
470,창의성 101,문학,JAMES C. KAUFMAN ,,시그마프리스,2010-01-22,9788958327431,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
471,자신의 고정관념을 탈피하는 창의력 아이디어,총류,이호철,,북오션,2008-06-25,9788996033431,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
472,리더를 위한 미술 창의력 발전소,총류,이주현,,위즈덤하우스,2008-09-26,9788960861343,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
473,곰탕에 꽃 한 송이 (밥에 숨은 놀랍고도 맛있는 철학),철학/심리학/윤리학,함영,,웅진뜰,2012-03-08,,0,15000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
474,모듈,예술,성기완,,문학과지성사,2012-03-02,,0,12000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
475,슬픔의 위안 (어느 날 찾아온 슬픔을 가만히 응시하게 되기까지),문학,론 마라스코|브라이언 셔프,,현암사,2012-03-05,,0,13000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
476,소녀의 창의 스케치북,아동,한나 코헨,,진선출판사,2012-02-24,9788972217404,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
477,"엉뚱발랄 인기 짱 창의력 있는 아이, 창의력 없는 아이",아동,황은영,,글송이,2010-12-30,9788955726190,0,0,교육청 > 경남교육청 > 창의성을 기르는 책
478,절대강자 (이외수의 인생 정면 대결법),문학,이외수,,해냄출판사,2011-12-06,,0,13800,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
479,내 인생의 양탄자,문학,카타리나 모렐로,,개암나무,2012-03-05,,0,11000,교육청 > 경남교육청 > 좋은 성격 형성을 위한 책
